cell_id,group,cycle,max_capacity_Ah,max_energy_Wh,voltage_max,voltage_min,voltage_mean,temp_mean,temp_max,duration_s,current_mean,current_std
001-1,G1,1,52.451155,160.905638,3.17329,2.500461,3.0675802665431444,36.450079407093696,45.1,3776.5,-49.99740357967178,0.002190390164184611
001-1,G1,51,51.38748,160.392089,3.461337,2.5,3.1211892577681706,43.14922993785464,46.4,3700.0,-49.98379851688733,0.8219353632018789
001-1,G1,101,50.326355,156.056451,3.409357,2.5,3.1007817478620696,35.03834482758621,40.9,3623.6,-49.98360511172414,0.8304151873340312
001-1,G1,151,49.78847,157.182819,3.45334,2.5,3.156934193530396,37.63898494143893,40.1,3584.8,-49.983555024539875,0.8349213658411849
001-1,G1,201,49.067934,154.522865,3.4598,2.5,3.1491086375212225,37.53027730616865,40.2,3533.0,-49.983297495189596,0.8410402483539672
001-1,G1,301,47.495694,146.802977,3.417354,2.5,3.0907910198772286,26.412861736334403,33.9,3419.8,-49.98279958170126,0.8549431755088003
001-1,G1,351,46.940321,145.28543,3.418738,2.5,3.0950305314995568,26.653948535936113,32.5,3379.8,-49.98260990712807,0.8599857731947553
001-1,G1,401,46.778989,147.276159,3.469334,2.5,3.148133991691395,40.97626112759644,43.5,3368.2,-49.98258472344214,0.861260009041425
001-1,G1,451,46.087612,144.729771,3.473333,2.5,3.1401500593373495,38.109969879518076,41.0,3318.4,-49.98243289728916,0.8676283829551232
001-1,G1,501,45.446834,143.041919,3.511934,2.5,3.1472589276114844,43.5076970067196,44.6,3272.2,-49.98219412767258,0.8739934260671455
001-1,G1,551,44.568104,138.254651,3.433963,2.5,3.102052880373832,29.505981308411215,36.6,3209.0,-49.98181227071652,0.882626752155639
001-1,G1,601,44.275335,137.871542,3.48456,2.5,3.1138983358419567,32.434462213860144,34.2,3187.9,-49.98166005863908,0.8853328467309245
001-1,G1,651,43.578174,135.852285,3.492557,2.5,3.1173340576616755,34.62981841350749,36.4,3137.7,-49.9813853583944,0.8925556782345015
001-1,G1,701,42.562886,131.684894,3.403512,2.5,3.09376504729289,25.857208088714938,31.6,3064.6,-49.98105375603392,0.9029160834737184
001-1,G1,751,42.375518,133.002726,3.426888,2.5,3.1384220429086143,30.135276776940714,32.4,3051.1,-49.980843269898465,0.9049696804359236
001-1,G1,801,41.410687,128.934544,3.44765,2.5,3.1134295098893734,31.486423064029502,33.8,2981.6,-49.980645129064705,0.9153946742842057
001-1,G1,851,40.501311,127.763018,3.431964,2.5,3.1542896583276216,30.18793694311172,33.1,2916.2,-49.980234082248124,0.9255631868313361
001-2,G1,1,55.106981,167.533793,3.190053,2.500308,3.0400633207357015,37.62436381960192,47.1,3967.7,-49.99732058251449,0.002834183872402502
001-2,G1,51,53.073395,156.661626,3.455647,2.5,2.951723277007585,52.72333246141773,58.2,3821.4,-49.98432056160083,0.8085379939102761
